"2104,3,399900"
"1600,3,329900"
"2400,3,369000"
"1416,2,232000"
"3000,4,539900"
"1985,4,299900"
"1534,3,314900"
"1427,3,198999"
"1380,3,212000"
"1494,3,242500"
"1940,4,239999"
"2000,3,347000"
"1890,3,329999"
"4478,5,699900"
"1268,3,259900"
"2300,4,449900"
"1320,2,299900"
"1236,3,199900"
"2609,4,499998"
"3031,4,599000"
"1767,3,252900"
"1888,2,255000"
"1604,3,242900"
"1962,4,259900"
"3890,3,573900"
"1100,3,249900"
"1458,3,464500"
"2526,3,469000"
"2200,3,475000"
"2637,3,299900"
"1839,2,349900"
"1000,1,169900"
"2040,4,314900"
"3137,3,579900"
"1811,4,285900"
"1437,3,249900"
"1239,3,229900"
"2132,4,345000"
"4215,4,549000"
"2162,4,287000"
"1664,2,368500"
"2238,3,329900"
"2567,4,314000"
"1200,3,299000"
"852,2,179900"
"1852,4,299900"
"1203,3,239500"
"1888,1,338075"
"3888,1,612403"
"2237,1,594698"
"1081,2,169900"
"3171,1,479942"
"2995,2,486734"
"4364,4,648787"
"3202,5,431114"
"2652,2,415425"
"1897,2,326678"
"4292,4,603635"
"3228,4,538846"
"3942,3,564412"
"4419,3,620172"
"3068,5,502762"
"1749,4,201690"
"3844,5,569790"
"2135,4,254125"
"2264,1,375708"
"2344,5,387460"
"1457,1,248482"
"4267,3,699900"
"1008,4,172881"
"2592,1,411954"
"4117,4,609886"
"4452,1,611621"
"3630,3,548458"
"4187,1,656769"
"1772,3,349555"
"4073,2,540007"
"3277,1,584893"
"2252,1,368184"
"3791,3,581252"
"864,4,214075"
"2614,2,440896"
"2537,4,388532"
"3116,2,462285"
"2922,2,416366"
"1459,5,292581"
"2531,3,442820"
"1669,4,339127"
"1132,1,224521"
"1085,3,169900"
"3124,5,479081"
"2859,5,462014"
"2634,2,469230"
"1859,3,290140"
"1604,2,376840"
"3173,5,545640"
"2319,3,403740"
"1263,3,240753"
"1408,1,240583"
"2932,3,389155"
"4391,1,637030"
"4116,2,694154"
"1360,4,208016"
"2875,5,496697"
"4229,4,684695"
"4049,2,699900"
"1359,4,223893"
"2019,2,309728"
"3560,5,465188"
"2605,3,537971"
"2557,5,331494"
"2254,4,450200"
"3438,4,626985"
"3988,4,535851"
"1055,2,342448"
"3978,2,617049"
"2499,1,293055"
"2840,5,416666"
"3430,2,493409"
"3303,1,559158"
"2509,3,606648"
"1619,2,305930"
"1459,3,318240"
"1904,2,350521"
"2047,4,421148"
"4354,1,699900"
"4458,1,699900"
"4369,4,699900"
"1264,2,216782"
"3852,1,574792"
"1649,2,378581"
"4434,5,699900"
"2191,5,338264"
"3598,4,595977"
"2302,4,507323"
"3584,4,494819"
"3688,2,497747"
"2501,1,429635"
"2084,3,442249"
"2529,3,437528"
"1944,3,318613"
"4245,3,697913"
"2849,4,466050"
"3163,4,381524"
"3770,3,622280"
"1880,3,359819"
"3951,5,538824"
"2642,3,361229"
"3157,1,481480"
"4311,3,610971"
"2103,3,345876"
"3235,4,459586"
"2593,5,380363"
"4438,5,644235"
"2198,3,385058"
"3940,3,577914"
"4465,2,613823"
"2581,4,513243"
"2453,4,361309"
"2599,3,391720"
"1969,3,333822"
"3734,1,564151"
"1933,5,314271"
"2474,1,404056"
"3237,5,470024"
"1430,5,169900"
"3608,2,599775"
"1764,2,258542"
"4310,1,569219"
"2618,1,334036"
"3891,5,565012"
"1250,5,409595"
"2893,3,442686"
"3122,3,447735"
"2112,1,288517"
"2729,3,648895"
"4292,2,699900"
"4385,1,687932"
"4325,4,600560"
"4195,5,554544"
"3631,1,568410"
"1896,3,404216"
"1856,5,354446"
"2003,1,430373"
"1857,4,304797"
"2599,2,359412"
"1687,1,269921"
"1122,5,177851"
"3332,5,476224"
"4365,4,559784"
"2022,4,411376"
"4212,2,699900"
"1250,2,299972"
"1598,5,469379"
"2952,2,492267"
"1158,5,169900"
"4316,4,671045"
"1425,5,314098"
"906,1,240138"
"1070,5,169900"
"1296,5,240143"
"1350,2,307835"
"4439,5,699900"
"2389,1,473858"
"1371,2,310468"
"1958,2,426661"
"1995,4,431625"
